#id,name,trails,lifts,vertical,elevation,base,area,snowfall,city,postal code,latitude,longitude,website,wiki,region,country,continent,metric

# US Northeast
1303,Sugar Mountain,20,7,1200,5300,4100,115,,Sugar Mountain,28604,36.130223,-81.85909,http://skisugar.com/,"http://en.wikipedia.org/wiki/Sugar_Mountain,_North_Carolina",North Carolina,USA,North America,FALSE
1304,Wolf Ridge,23,6,700,4700,4000,72,,Mars Hill,28754,35.95496,-82.50928,http://www.skiwolfridgenc.com/,http://en.wikipedia.org/wiki/Wolf_Ridge,North Carolina,USA,North America,FALSE
1325,Ober Gatlinburg,8,3,600,3300,2700,35,30,Gatlinburg,37738,35.708608,-83.521078,http://www.obergatlinburg.com/,http://en.wikipedia.org/wiki/Ober_Gatlinburg,Tennessee,USA,North America,FALSE
1350,Bryce Resort,8,2,500,1750,1250,25,,Basye,22810,38.817007,-78.765968,http://www.bryceresort.com/,"http://en.wikipedia.org/wiki/Basye-Bryce_Mountain,_Virginia",Virginia,USA,North America,FALSE
1351,Massanutten ,14,,1100,2860,1750,70,,McGaheysville,22840,38.406254,-78.71654,http://massresort.com/,http://en.wikipedia.org/wiki/Massanutten_Mountain,Virginia,USA,North America,FALSE
1352,The Homestead,10,,700,3200,2500,45,50,Hot Springs,24445,37.997583,-79.831209,http://www.thehomestead.com/,"http://en.wikipedia.org/wiki/The_Homestead_%28Hot_Springs,_Virginia%29",Virginia,USA,North America,FALSE
1353,Wintergreen,26,7,1003,3515,3515,129,,Wintergreen,22958,37.93,-78.941667,http://www.wintergreenresort.com/,http://en.wikipedia.org/wiki/Wintergreen_Resort,Virginia,USA,North America,FALSE
1375,Canaan Valley,39,3,850,4280,3430,91,180,Davis,26260,39.023611,-79.465833,http://canaanresort.com,http://en.wikipedia.org/wiki/Canaan_Valley_Resort_State_Park,West Virginia,USA,North America,FALSE
1376,Snowshoe,60,15,1500,4848,4848,244,180,Snowshoe,26209,38.408889,-79.994722,http://www.snowshoemtn.com,http://en.wikipedia.org/wiki/Snowshoe_Mountain,West Virginia,USA,North America,FALSE
1377,Timberline,37,3,1000,4268,3268,100,200,Davis,26260,39.090517,-79.42753,http://www.timberlineresort.com,http://en.wikipedia.org/w/index.php?title=Timberline_Four_Seasons_Resort&action=edit&redlink=1,West Virginia,USA,North America,FALSE
1378,Winterplace,27,9,603,3600,2997,90,100,Ghent,25843,37.59,-81.115,http://www.winterplace.com/,http://en.wikipedia.org/wiki/Winterplace,West Virginia,USA,North America,FALSE

# US Rockies
1700,Arizona Snowbowl,32,4,2300,11500,9200,777,260,Flagstaff,86002,35.268415,-111.719052,http://www.arizonasnowbowl.com/,http://en.wikipedia.org/wiki/Arizona_Snowbowl,Arizona,USA,North America,FALSE
1701,Elk Ridge,10,2,650,8150,7500,37,150,Williams,86046,35.210556,-112.1925,http://www.elkridgeski.com/,http://en.wikipedia.org/wiki/Elk_Ridge_Ski_Area,Arizona,USA,North America,FALSE
1702,Mount Lemmon Ski Valley,21,3,957,9157,8200,200,180,Mt. Lemmon,85619,32.44771,-110.766835,http://www.skithelemmon.com/,http://en.wikipedia.org/wiki/Mount_Lemmon_Ski_Valley,Arizona,USA,North America,FALSE
1703,Sunrise Park,65,10,1800,11100,9200,800,250,Greer,85927,34.912523,-110.166053,http://www.sunriseskipark.com/,http://en.wikipedia.org/wiki/Sunrise_Park_Resort,Arizona,USA,North America,FALSE
1725,Arapahoe Basin,105,7,2270,13050,10780,900,350,Keystone,80435,39.641667,-105.871667,http://arapahoebasin.com,http://en.wikipedia.org/wiki/Arapahoe_Basin,Colorado,USA,North America,FALSE
1726,Aspen Mountain,76,8,3267,11212,7945,675,300,Aspen,81612,39.186389,-106.818611,http://www.aspensnowmass.com/,http://en.wikipedia.org/wiki/Aspen_Mountain_%28ski_area%29,Colorado,USA,North America,FALSE
1727,Aspen Highlands,118,5,3635,11675,8040,1028,300,Aspen,81612,39.181111,-106.856389,http://www.aspensnowmass.com/,http://en.wikipedia.org/wiki/Aspen_Highlands,Colorado,USA,North America,FALSE
1728,Buttermilk,44,8,2030,9900,7870,470,200,Aspen,81612,39.205,-106.860556,http://www.aspensnowmass.com/,http://en.wikipedia.org/wiki/Buttermilk_%28ski_area%29,Colorado,USA,North America,FALSE
1729,Snowmass,91,21,4406,12510,8104,3128,300,Aspen,81612,39.1956,-106.9513,http://www.aspensnowmass.com/,http://en.wikipedia.org/wiki/Snowmass_%28ski_area%29,Colorado,USA,North America,FALSE
1730,Beaver Creek,149,25,3340,11440,8100,1815,325,Vail,81657,39.631389,-106.521667,http://www.beavercreek.com/,http://en.wikipedia.org/wiki/Beaver_Creek_Resort,Colorado,USA,North America,FALSE
